year,industry,wage, percentChange 
2017-Q4,Accommodation,$409 ,0.04
2018-Q1,Accommodation,$406 ,0.03
2018-Q2,Accommodation,$410 ,0.04
2018-Q3,Accommodation,$415 ,0.04
2018-Q4,Accommodation,$428 ,0.05
2019-Q1,Accommodation,$420 ,0.03
2019-Q2,Accommodation,$428 ,0.04
2019-Q3,Accommodation,$436 ,0.05
2019-Q4,Accommodation,$446 ,0.04
2020-Q1,Accommodation,$435 ,0.04
2020-Q2,Accommodation,$407 ,-0.05
2020-Q3,Accommodation,$429 ,-0.02
2020-Q4,Accommodation,$476 ,0.07
2021-Q1,Accommodation,$432 ,-0.01
2021-Q2,Accommodation,$482 ,0.18
2021-Q3,Accommodation,$510 ,0.19
